Character,Majuscule,Miniuscule,SUM,,Total
A/a,92,913,1005,,11385
B/b,93,138,231,,
C/c,82,242,324,,
D/d,103,221,324,,
E/e,48,899,947,,
F/f,52,90,142,,
G/g,59,210,269,,
H/h,54,263,317,,
I/i,44,675,719,,
J/j,47,57,104,,
K/k,107,302,409,,
L/l,65,402,467,,
M/m,106,293,399,,
N/n,61,609,670,,
O/o,48,780,828,,
P/p,74,176,250,,
Q/q,12,16,28,,
R/r,78,595,673,,
S/s,161,490,651,,
T/t,107,417,524,,
U/u,17,388,405,,
V/v,31,75,106,,
W/w,31,91,122,,
X/x,23,70,93,,
Y/y,25,270,295,,
Z/z,33,163,196,,
Í/í,0,1,1,,
,,,,,
Character,Number of occurrences,,,,
0,90,,,,
1,134,,,,
2,90,,,,
3,93,,,,
4,47,,,,
5,41,,,,
6,40,,,,
7,53,,,,
8,45,,,,
9,47,,,,
,,,,,
-,1,,,,
_,201,,,,
.,4,,,,
